sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes
,non_plot,GEDI,1,1,,,0.0711,0.0419,0.0186,0.0058,1,4/23/19,
,non_plot,GEDI,1,2,,,0.0526,0.0328,0.0139,0.0044,1,4/23/19,
,non_plot,GEDI,1,3,,,0.0898,0.0591,0.00221,0.0082,1,4/23/19,
,non_plot,GEDI,2,1,,,0.0279,0.018,0.0062,0.0025,1,4/23/19,
,non_plot,GEDI,2,2,,,0.0505,0.0385,0.0133,0.0061,1,4/23/19,
,non_plot,GEDI,2,3,,,0.0423,0.0113,0.0114,0.002,1,4/23/19,
,non_plot,GEDI,3,1,,,0.1042,0.0749,0.024,0.0109,1,4/23/19,
,non_plot,GEDI,3,2,,,0.089,0.0658,0.0197,0.0097,1,4/23/19,
,non_plot,GEDI,3,3,,,0.0469,0.0164,0.0124,0.0027,1,4/23/19,
,non_plot,GEDI,4,1,,,0.0919,0.0728,0.0209,0.0113,1,4/23/19,
,non_plot,GEDI,4,2,,,0.1002,0.0602,0.0246,0.0091,1,4/23/19,
,non_plot,GEDI,4,3,,,0.0516,0.172,0.0136,0.029,1,4/23/19,
,non_plot,GEDI,5,1,,,0.1095,0.0422,0.0257,0.0069,1,4/23/19,
,non_plot,GEDI,5,2,,,0.0628,0.0343,0.0161,0.006,1,4/23/19,
,non_plot,GEDI,5,3,,,0.0895,0.0351,0.022,0.0064,1,4/23/19,
,non_plot,TRLA4,1,1,,,0.0708,,0.0205,,1,6/29/19,
,non_plot,TRLA4,1,2,,,0.0699,,0.0198,,1,6/29/19,
,non_plot,TRLA4,1,3,,,0.0746,,0.0216,,1,6/29/19,
,non_plot,TRLA4,2,1,,,0.06,,0.0165,,1,6/29/19,
,non_plot,TRLA4,2,2,,,0.0436,,0.0132,,1,6/29/19,
,non_plot,TRLA4,2,3,,,0.0532,,0.0166,,1,6/29/19,
,non_plot,TRLA4,3,1,,,0.0567,,0.0191,,1,6/29/19,
,non_plot,TRLA4,3,2,,,0.56,,0.0212,,1,6/29/19,
,non_plot,TRLA4,3,3,,,0.299,,0.0118,,1,6/29/19,
,non_plot,TRLA4,4,1,,,0.0591,,0.0137,,1,6/29/19,
,non_plot,TRLA4,4,2,,,0.0614,,0.0184,,1,6/29/19,
,non_plot,TRLA4,4,3,,,0.0396,,0.0138,,1,6/29/19,
,non_plot,TRLA4,5,1,,,0.0411,,0.0116,,1,6/29/19,
,non_plot,TRLA4,5,2,,,0.0543,,0.0167,,1,6/29/19,
,non_plot,TRLA4,5,3,,,0.0593,,0.0171,,1,6/29/19,
,non_plot,TRLA4,6,1,,,0.0539,,0.0132,,1,6/29/19,
,non_plot,TRLA4,6,2,,,0.1093,,0.0373,,1,6/29/19,
,non_plot,TRLA4,6,3,,,0.0367,,0.0125,,1,6/29/19,
,non_plot,TRLA4,7,1,,,0.0357,,0.0108,,1,6/29/19,
,non_plot,TRLA4,7,2,,,0.0164,,0.0053,,1,6/29/19,
,non_plot,TRLA4,7,3,,,0.021,,0.0078,,1,6/29/19,
,non_plot,TRLA4,8,1,,,0.0213,,0.0066,,1,6/29/19,
,non_plot,TRLA4,8,2,,,0.0248,,0.0081,,1,6/29/19,
,non_plot,TRLA4,8,3,,,0.017,,0.0059,,1,6/29/19,
,non_plot,ERGR5,1,1,,,0.0299,,0.0078,,,6/29/19,
,non_plot,ERGR5,1,2,,,0.0321,,0.0087,,,6/29/19,
,non_plot,ERGR5,1,3,,,0.0322,,0.0086,,,6/29/19,
,non_plot,ERGR5,2,1,,,0.0242,,0.0066,,,6/29/19,
,non_plot,ERGR5,2,2,,,0.0328,,0.0087,,,6/29/19,
,non_plot,ERGR5,2,3,,,0.0302,,0.008,,,6/29/19,
,non_plot,ERGR5,3,1,,,0.0439,,0.0117,,,6/29/19,
,non_plot,ERGR5,3,2,,,0.0323,,0.0088,,,6/29/19,
,non_plot,ERGR5,3,3,,,0.0405,,0.0115,,,6/29/19,
,non_plot,ERGR5,4,1,,,0.067,,0.0164,,,6/29/19,
,non_plot,ERGR5,4,2,,,0.09,,0.023,,,6/29/19,
,non_plot,ERGR5,4,3,,,0.0749,,0.0178,,,6/29/19,
,non_plot,ERGR5,5,1,,,0.0379,,0.0099,,,6/29/19,
,non_plot,ERGR5,5,2,,,0.0366,,0.0106,,,6/29/19,
,non_plot,ERGR5,5,3,,,0.0264,,0.0075,,,6/29/19,
,non_plot,ERGR5,6,1,,,0.043,,0.0125,,,6/29/19,
,non_plot,ERGR5,6,2,,,0.0508,,0.0138,,,6/29/19,
,non_plot,ERGR5,6,3,,,0.0506,,0.0117,,,6/29/19,
