sequence,plot,species,plant_number,type,tissue_type,aboveground_biomass_g,date_collected,notes
,761,HECO,1.1,AGB,,2.9399,,
,761,HECO,1.2,AGB,,1.4746,,
,761,HECO,2,AGB,,1.594,,
,761,HECO,3,AGB,,1.7654,,
,761,HECO,4,AGB,,1.2463,,
,761,HECO,5,AGB,,1.1667,,
,761,VUMA,1,AGB,,0.6589,,
,761,VUMA,2,AGB,,1.8915,,
,761,VUMA,3,AGB,,0.7664,,
,761,VUMA,4,AGB,,0.94418,,
,761,VUMA,5,AGB,,0.1381,,
,non_plot,TOAR,1,AGB,leaves,0.08517,,
,non_plot,TOAR,1,AGB,,0.42951,,
,non_plot,TOAR,4,AGB,,0.5329,,
,non_plot,TOAR,2,AGB,leaves,0.0853,,
,non_plot,TOAR,2,AGB,,0.4798,,
,non_plot,TOAR,3,AGB,leaves,0.4031,,
,non_plot,TOAR,4,AGB,leaves,0.117,,
,non_plot,TOAR,3,AGB,,1.0092,,
,non_plot,TOAR,8,AGB,leaves,0.1962,,
,non_plot,TOAR,5,AGB,leaves,0.2083,,
,non_plot,TOAR,5,AGB,,0.5956,,
,non_plot,TOAR,8,AGB,,0.6536,,
,non_plot,TOAR,6,AGB,leaves,0.0948,,
,non_plot,TOAR,6,AGB,,0.4564,,
,non_plot,TOAR,7,AGB,,1.2179,,
,non_plot,TOAR,7,AGB,leaves,0.3259,,
,non_plot,AG2,1,AGB,,0.1394,,
,non_plot,AG2,2,AGB,,0.2802,,
,non_plot,AG2,3,AGB,,0.3712,,
,non_plot,AG2,4,AGB,,0.2095,,
,non_plot,AG2,5,AGB,,0.3727,,
,non_plot,AG2,6,AGB,,0.4965,,
,non_plot,AG2,8,AGB,,0.2307,,
,non_plot,AG2,7,AGB,,0.5423,,
,non_plot,BRDI,2,AGB,,1.666,,
,non_plot,BRDI,6,AGB,,1.6585,,
,non_plot,BRDI,4,AGB,,1.1965,,
,non_plot,BRDI,7,AGB,,4.6563,,
,non_plot,BRDI,5,AGB,,3.8168,,
,non_plot,BRDI,1,AGB,,2.5632,,
,non_plot,BRDI,8,AGB,,3.2531,,
,non_plot,BOIN,2,AGB,,0.1546,,
,non_plot,BOIN,2,AGB,leaves,0.0415,,
,non_plot,BOIN,1,AGB,,0.1232,,
,non_plot,ACMO,2,AGB,,0.6308,,
,non_plot,ACMO,4,AGB,,0.8625,,
,non_plot,ACMO,3,AGB,,0.6827,,
,non_plot,ACMO,7,AGB,,0.225,,
,non_plot,ACMO,4,AGB,leaves,0.2692,,
,non_plot,ACMO,8,AGB,,0.2191,,
,non_plot,ACMO,6,AGB,,0.3849,,
,non_plot,ACMO,5,AGB,,0.7159,,
,non_plot,AVBA,1,AGB,,2.2068,,
,non_plot,AVBA,2,AGB,,2.9416,,
,non_plot,AVBA,3,AGB,,0.877,,
,non_plot,BOIN,1,AGB,leaves,0.0074,,
,non_plot,AVBA,3,AGB,leaves,0.0949,,
,non_plot,AVBA,3,AGB,,0.505,,
,non_plot,AVBA,5,AGB,,1.7422,,
,non_plot,AVBA,4,AGB,,1.6678,,
,non_plot,AVBA,5,AGB,leaves,0.2253,,
,non_plot,AVBA,3,AGB,leaves,0.1441,,w/o scan 
,non_plot,AVBA,6,AGB,leaves,0.1581,,
,non_plot,AVBA,6,AGB,,0.7926,,
,non_plot,AVBA,2,AGB,leaves,0.4105,,not scanned 
,non_plot,AVBA,8,AGB,leaves,0.159,,
,non_plot,AVBA,8,AGB,,2.0189,,
,non_plot,AVBA,7,AGB,leaves,0.1737,,
,non_plot,AVBA,7,AGB,,1.5917,,
,non_plot,BOIN,5,AGB,,0.2407,,
,non_plot,BOIN,5,AGB,leaves,0.0717,,
,non_plot,BOIN,8,AGB,leaves,0.0813,,
,non_plot,BOIN,7,AGB,leaves,0.0879,,
,non_plot,BOIN,7,AGB,,0.2827,,
,non_plot,BOIN,8,AGB,,0.2296,,
,non_plot,LOST,8,AGB,leaves,0.0046,,
,non_plot,LOST,7,AGB,leaves,0.01,,
,non_plot,LOST,6,AGB,leaves,0.0046,,
,non_plot,LOST,5,AGB,leaves,0.0066,,
,non_plot,TRAL,2,AGB,,0.2238,,
,non_plot,TRAL,1,AGB,,1.1897,,
,non_plot,TRAL,7,AGB,,0.1641,,
,non_plot,TRAL,6,AGB,,0.1483,,
,non_plot,TRAL,5,AGB,,0.1996,,
,non_plot,TRAL,4,AGB,,0.7231,,
,non_plot,TRAL,3,AGB,,0.086,,
,non_plot,TRAL,8,AGB,,0.4647,,
,non_plot,DICA,3,AGB,,0.6958,,
,non_plot,DICA,2,AGB,,0.3676,,no leaves
,non_plot,DICA,1,AGB,,0.7027,,no leaves
,non_plot,LOMU,5,AGB,leaves,0.1217,,
,non_plot,LOMU,6,AGB,leaves,0.01286,,
,non_plot,LOMU,6,AGB,stem,0.8973,,
,non_plot,LOMU,7,AGB,leaves,0.3721,,
,non_plot,LOMU,7,AGB,stem,2.5825,,
,non_plot,LOMU,8,AGB,leaves,0.0533,,
,non_plot,LOMU,8,AGB,stem,0.4909,,
,non_plot,LOMU,4,AGB,leaves,0.1624,,
,non_plot,LOMU,4,AGB,stem,0.85,,
,non_plot,CACO,1,AGB,leaves,0.9302,,
,non_plot,CACO,1,AGB,stem,0.4816,,
,non_plot,CACO,2,AGB,leaves,0.6089,,
,non_plot,CACO,2,AGB,stem,0.3849,,
,non_plot,CACO,3,AGB,leaves,0.236,,
,non_plot,CACO,3,AGB,stem,0.1383,,
,non_plot,CACO,4,AGB,leaves,0.2567,,
,non_plot,CACO,4,AGB,stem,0.1457,,
,non_plot,CACO,5,AGB,leaves,0.1796,,
,non_plot,CACO,5,AGB,stem,0.0977,,
,non_plot,CACO,8,AGB,leaves,0.1862,,
,non_plot,CACO,8,AGB,stem,0.1449,,
,non_plot,CACO,6,AGB,leaves,0.3517,,
,non_plot,CACO,6,AGB,stem,0.2271,,
,non_plot,CACO,7,AGB,leaves,0.1844,,
,non_plot,CACO,7,AGB,stem,0.1847,,
,non_plot,NAPU,1,AGB,leaves,1.0088,,
,non_plot,NAPU,2,AGB,leaves,0.2767,,
,non_plot,NAPU,3,AGB,leaves,0.7428,,
,non_plot,NAPU,4,AGB,leaves,0.3051,,
,non_plot,NAPU,5,AGB,leaves,0.335,,
,non_plot,NAPU,6,AGB,leaves,0.882,,
,non_plot,NAPU,7,AGB,leaves,0.4409,,
,non_plot,NAPU,8,AGB,leaves,0.7751,,
,non_plot,CAPY,7,AGB,leaves,0.385,,
,non_plot,CAPY,9,AGB,leaves,0.6987,,
,non_plot,CAPY,6,AGB,leaves,0.458,,
,non_plot,SIGA,8,AGB,leaves,0.0262,,
,non_plot,SIGA,8,AGB,stem,0.1033,,
,non_plot,SIGA,7,AGB,leaves,0.2146,,
,non_plot,SIGA,7,AGB,stem,1.7024,,
,non_plot,SIGA,6,AGB,leaves,0.1252,,
,non_plot,SIGA,6,AGB,stem,1.1149,,
,non_plot,SIGA,5,AGB,leaves,0.0933,,
,non_plot,SIGA,5,AGB,stem,0.5953,,
,non_plot,SIGA,4,AGB,leaves,0.2399,,
,non_plot,SIGA,4,AGB,stem,1.4078,,
,non_plot,SIGA,3,AGB,leaves,0.1795,,
,non_plot,SIGA,3,AGB,stem,1.3684,,
,non_plot,SIGA,2,AGB,leaves,0.1455,,
,non_plot,SIGA,2,AGB,stem,0.673,,
,non_plot,SIGA,1,AGB,leaves,0.0259,,
,non_plot,SIGA,1,AGB,stem,0.2849,,
,non_plot,CROTON,1,AGB,leaves,0.1819,,
,non_plot,CROTON,1,AGB,stem,0.0557,,
,non_plot,CROTON,2,AGB,leaves,0.1133,,
,non_plot,CROTON,2,AGB,stem,0.0478,,
,non_plot,CROTON,3,AGB,leaves,0.4543,,
,non_plot,CROTON,3,AGB,stem,0.2249,,
,non_plot,CROTON,4,AGB,leaves,0.4565,,
,non_plot,CROTON,4,AGB,stem,0.167,,
,non_plot,CROTON,5,AGB,leaves,0.0512,,
,non_plot,CROTON,5,AGB,stem,0.0142,,
,non_plot,CROTON,6,AGB,leaves,0.179,,
,non_plot,CROTON,6,AGB,stem,0.0583,,
,non_plot,CROTON,7,AGB,leaves,0.0581,,
,non_plot,CROTON,7,AGB,stem,0.0289,,
,non_plot,CROTON,8,AGB,leaves,0.0824,,
,non_plot,CROTON,8,AGB,stem,0.0263,,
,non_plot,LASE,6,AGB,leaves,0.1289,,
,non_plot,LASE,6,AGB,stem,0.1793,,
,non_plot,LASE,7,AGB,leaves,0.0442,,
,non_plot,LASE,7,AGB,stem,0.0587,,
,non_plot,LASE,8,AGB,leaves,0.0718,,
,non_plot,LASE,8,AGB,stem,0.119,,
,non_plot,LASE,5,AGB,leaves,0.0866,,
,non_plot,LASE,5,AGB,stem,0.1287,,
,non_plot,LASE,4,AGB,leaves,0.4418,,
,non_plot,LASE,4,AGB,stem,0.3557,,
,non_plot,LASE,3,AGB,leaves,0.3511,,
,non_plot,LASE,3,AGB,stem,0.3861,,
,non_plot,LASE,2,AGB,leaves,0.1449,,
,non_plot,LASE,2,AGB,stem,0.2283,,
,non_plot,LARA,8,AGB,leaves,0.0321,,
,non_plot,LARA,8,AGB,stem,0.0649,,
,non_plot,LARA,7,AGB,leaves,0.2172,,
,non_plot,LARA,7,AGB,stem,0.3872,,
,non_plot,LARA,6,AGB,leaves,0.3336,,
,non_plot,LARA,6,AGB,stem,0.6213,,
,non_plot,LARA,5,AGB,leaves,0.1563,,
,non_plot,LARA,5,AGB,stem,0.242,,
,non_plot,LARA,4,AGB,leaves,0.0244,,
,non_plot,LARA,4,AGB,stem,0.1145,,
,non_plot,LARA,3,AGB,leaves,0.1047,,
,non_plot,LARA,3,AGB,stem,0.2286,,
,non_plot,LARA,2,AGB,leaves,0.1499,,
,non_plot,LARA,2,AGB,stem,0.2936,,
,non_plot,LARA,1,AGB,leaves,0.1802,,
,non_plot,LARA,1,AGB,stem,0.2896,,
,non_plot,GAAP,1,AGB,leaves,0.0987,,
,non_plot,GAAP,1,AGB,,0.2907,,
,non_plot,GAAP,2,AGB,leaves,0.1286,,
,non_plot,GAAP,2,AGB,,0.4449,,
,non_plot,GAAP,3,AGB,leaves,0.0841,,
,non_plot,GAAP,3,AGB,,0.2392,,
,non_plot,GAAP,4,AGB,leaves,0.063,,
,non_plot,GAAP,4,AGB,,0.3107,,
,non_plot,GAAP,5,AGB,leaves,0.0306,,
,non_plot,GAAP,5,AGB,,0.059,,
,non_plot,GAAP,6,AGB,leaves,0.0281,,
,non_plot,GAAP,6,AGB,,0.0779,,
,non_plot,GAAP,8,AGB,leaves,0.0203,,
,non_plot,GAAP,8,AGB,,0.0575,,
,non_plot,AVFA,1,AGB,leaves,0.3364,,
,non_plot,AVFA,1,AGB,stem,2.2022,,
,non_plot,AVFA,2,AGB,leaves,0.3273,,
,non_plot,AVFA,2,AGB,stem,2.0132,,
,non_plot,AVFA,3,AGB,leaves,0.4616,,
,non_plot,AVFA,3,AGB,stem,1.6238,,
,non_plot,AVFA,4,AGB,leaves,0.4295,,
,non_plot,AVFA,4,AGB,stem,5.3038,,
,non_plot,AVFA,5,AGB,leaves,0.3414,,
,non_plot,AVFA,5,AGB,stem,1.9053,,
,non_plot,AVFA,6,AGB,leaves,0.3014,,
,non_plot,AVFA,6,AGB,stem,2.6934,,
,non_plot,AVFA,7,AGB,leaves,0.3722,,
,non_plot,AVFA,7,AGB,stem,2.8458,,
,non_plot,AVFA,8,AGB,leaves,0.2142,,
,non_plot,AVFA,8,AGB,stem,2.4542,,
,non_plot,CAPY,5,AGB,leaves,0.3573,,
,non_plot,CAPY,4,AGB,leaves,0.2897,,
,non_plot,CAPY,3,AGB,leaves,0.7938,,
,non_plot,CAPY,2,AGB,leaves,0.4361,,
,non_plot,CAPY,1,AGB,leaves,0.1773,,
,non_plot,CHPO,1,AGB,leaves,0.3811,,
,non_plot,CHPO,2,AGB,leaves,0.3986,,
,non_plot,CHPO,6,AGB,leaves,0.8837,,
,non_plot,CHPO,6,AGB,stem,0.3833,,
,non_plot,CHPO,3,AGB,,0.2235,,
,non_plot,CHPO,4,AGB,leaves,0.3095,,
,non_plot,CHPO,4,AGB,,0.5002,,
,non_plot,CHPO,5,AGB,leaves,0.0835,,
,non_plot,CHPO,5,AGB,stem,0.5842,,
,non_plot,CHPO,7,AGB,leaves,0.3804,,
,non_plot,CHPO,7,AGB,stem,0.3643,,
,non_plot,CHPO,8,AGB,leaves,0.8418,,
,non_plot,CHPO,8,AGB,stem,2.4018,,
,non_plot,LOMU,1,AGB,leaves,0.3752,,
,non_plot,LOMU,1,AGB,stem,2.707,,
,non_plot,LOMU,2,AGB,leaves,0.3156,,
,non_plot,LOMU,2,AGB,stem,1.6558,,
,non_plot,LOMU,3,AGB,leaves,0.1757,,
,non_plot,LOMU,3,AGB,stem,0.8598,,
,non_plot,LOMU,5,AGB,stem,4.6834,,
,non_plot,CLPE,3,AGB,,0.1938,,1 of 2
,non_plot,CLPE,3,AGB,,0.2168,,2 of 2
,non_plot,CLPE,1,AGB,,0.2217,,
,non_plot,CLPE,2,AGB,,0.2321,,
,non_plot,CLPE,4,AGB,,0.0606,,
,non_plot,CLPE,5,AGB,,0.1306,,
,non_plot,CLPE,6,AGB,,0.2523,,
,non_plot,CLPE,7,AGB,,0.1142,,1 of 2
,non_plot,CLPE,7,AGB,,0.1575,,2 of 2
,non_plot,CLPE,8,AGB,,0.144,,
,non_plot,LUBI,1,AGB,,0.1954,,
,non_plot,LUBI,2,AGB,,0.4084,,
,non_plot,LUBI,3,AGB,,0.1711,,
,non_plot,LUBI,4,AGB,,0.1845,,
,non_plot,LUBI,5,AGB,,0.0639,,
,non_plot,LUBI,6,AGB,,0.393,,
,non_plot,LUBI,7,AGB,,0.1777,,
,non_plot,LUBI,8,AGB,,0.1273,,
,non_plot,VUMY,1,AGB,,0.1032,,
,non_plot,VUMY,2,AGB,,0.1688,,
,non_plot,VUMY,3,AGB,,0.0941,,
,non_plot,LOST,4,AGB,,0.1974,,
,non_plot,LOST,5,AGB,,0.1558,,
,non_plot,LOST,6,AGB,,0.3529,,
,non_plot,LOST,7,AGB,,0.121,,
,non_plot,LOST,8,AGB,,0.3282,,
,non_plot,GIOC,6,AGB,,0.4572,,
,non_plot,GIOC,7,AGB,,0.5732,,
,non_plot,BRDI,3,AGB,,4.3178,,
,non_plot,BRHO,1,AGB,,0.3226,,
,non_plot,BRHO,2,AGB,,0.282,,
,non_plot,BRHO,3,AGB,,0.2818,,
,non_plot,BRHO,4,AGB,,0.9397,,
,non_plot,BRHO,5,AGB,,0.603,,
,non_plot,BRHO,6,AGB,,1.9398,,
,non_plot,BRHO,7,AGB,,0.8715,,
,non_plot,BRHO,8,AGB,,0.5867,,
,non_plot,ANAR,1,AGB,,0.2278,,
,non_plot,ANAR,2,AGB,,0.087,,
,non_plot,ANAR,3,AGB,,0.2966,,
,non_plot,ANAR,4,AGB,,0.1299,,
,non_plot,ANAR,5,AGB,,0.0901,,
,non_plot,ANAR,6,AGB,,0.2357,,
,non_plot,ANAR,7,AGB,,0.2421,,
,non_plot,ANAR,8,AGB,,0.1759,,
,non_plot,VUMY,4,AGB,,0.4552,,
,non_plot,VUMY,5,AGB,,0.1573,,
,non_plot,VUMY,6,AGB,,0.4861,,
,non_plot,VUMY,7,AGB,,0.5768,,
,non_plot,VUMY,8,AGB,,0.4688,,
,non_plot,VIPE,1,AGB,,0.336,,
,non_plot,VIPE,2,AGB,,0.7615,,
,non_plot,VIPE,3,AGB,,0.5686,,
,non_plot,VIPE,4,AGB,,1.0572,,
,non_plot,VIPE,5,AGB,,0.0641,,
,non_plot,VIPE,6,AGB,,0.1877,,
,non_plot,VIPE,7,AGB,,0.4397,,
,non_plot,VIPE,8,AGB,,0.925,,
,non_plot,LEBO,1,AGB,,0.5714,,
,non_plot,LEBO,2,AGB,,0.4617,,
,non_plot,LEBO,3,AGB,,0.3401,,
,non_plot,LEBO,4,AGB,,0.2395,,
,non_plot,LEBO,5,AGB,,0.7928,,
,non_plot,LEBO,6,AGB,,1.3138,,
,non_plot,LEBO,7,AGB,,0.4338,,
,non_plot,LEBO,8,AGB,,1.0189,,
,non_plot,ERMO,1,AGB,,0.6455,,
,non_plot,ERMO,2,AGB,,0.8524,,
,non_plot,ERMO,3,AGB,,0.0891,,
,non_plot,ERMO,4,AGB,,0.3342,,
,non_plot,ERMO,5,AGB,,0.2075,,
,non_plot,ERMO,6,AGB,,0.3427,,
,non_plot,ERMO,7,AGB,,0.2961,,
,non_plot,ERMO,8,AGB,,0.2048,,
,non_plot,CAPY,1,AGB,,1.3357,,
,non_plot,CAPY,2,AGB,stem,3.0929,,
,non_plot,CAPY,3,AGB,,3.7421,,
,non_plot,CAPY,4,AGB,stem,2.1307,,
,non_plot,CAPY,9,AGB,stem,3.5678,,
,non_plot,CAPY,5,AGB,stem,1.873,,
,non_plot,CAPY,6,AGB,stem,1.9521,,
,non_plot,CAPY,7,AGB,stem,2.2453,,
,non_plot,MIDO,1,AGB,,0.1653,,
,non_plot,MIDO,2,AGB,,0.1641,,
,non_plot,MIDO,3,AGB,,0.0451,,
,non_plot,MIDO,3,AGB,stem,0.111,,
,non_plot,MIDO,4,AGB,stem,0.0722,,
,non_plot,MIDO,4,AGB,,0.022,,
,non_plot,MIDO,5,AGB,stem,0.4234,,
,non_plot,MIDO,5,AGB,,0.0452,,
,non_plot,MIDO,6,AGB,stem,0.2058,,
,non_plot,MIDO,6,AGB,,0.043,,
,non_plot,MIDO,7,AGB,stem,0.1401,,
,non_plot,MIDO,7,AGB,leaves,0.0399,,
,non_plot,MIDO,8,AGB,stem,0.0798,,
,non_plot,MIDO,8,AGB,leaves,0.0236,,
,non_plot,LEPTOSIPHON,1,AGB,,0.02356,,
,non_plot,LEPTOSIPHON,2,AGB,,0.05298,,
,non_plot,LEPTOSIPHON,3,AGB,,0.02794,,
,non_plot,LEPTOSIPHON,4,AGB,,0.03616,,
,non_plot,LEPTOSIPHON,5,AGB,,0.02542,,
,non_plot,LEPTOSIPHON,6,AGB,,0.0678,,
,non_plot,LEPTOSIPHON,7,AGB,,0.06831,,
,non_plot,LEPTOSIPHON,8,AGB,,0.01643,,
,non_plot,LOST,1,AGB,,0.37804,,
,non_plot,LOST,2,AGB,,0.45951,,
,non_plot,LOST,3,AGB,,0.35927,,
,non_plot,NAPU,1,AGB,stem,1.8929,,2 of 2
,non_plot,NAPU,1,AGB,stem,2.9893,,1 of 2
,non_plot,NAPU,2,AGB,stem,3.3675,,
,non_plot,NAPU,5,AGB,stem,3.0105,,
,non_plot,NAPU,3,AGB,stem,3.4715,,1 of 3
,non_plot,NAPU,3,AGB,stem,1.3343,,2 of 3
,non_plot,NAPU,3,AGB,stem,3.123,,3 of 3
,non_plot,NAPU,4,AGB,stem ,3.1764,,
,non_plot,NAPU,6,AGB,stem ,2.9135,,
,non_plot,NAPU,7,AGB,stem ,2.4149,,
,non_plot,NAPU,8,AGB,stem ,6.172,,
,,CHGL,1,AGB,,0.1716,,
,,CHGL,2,AGB,,0.517,,
,,CHGL,3,AGB,,0.4184,,
,,CHGL,4,AGB,,0.6009,,
,,CHGL,5,AGB,,0.3054,,
,,CHGL,6,AGB,,0.1328,,
,,CHGL,7,AGB,,1.7814,,
,,CHGL,8,AGB,,0.1426,,
,non_plot,GIOC,1,AGB,,0.2057,,
,non_plot,GIOC,2,AGB,,0.5592,,
,non_plot,GIOC,3,AGB,,0.4307,,
,non_plot,GIOC,4,AGB,,0.5951,,
,non_plot,GIOC,5,AGB,,0.4733,,
,non_plot,DOCL,1,AGB,leaves,0.04779,,
,non_plot,DOCL,1,AGB,stem,0.33636,,
,non_plot,DOCL,2,AGB,stem,0.25684,,
,non_plot,DOCL,3,AGB,leaves,0.13147,,
,non_plot,DOCL,3,AGB,stem,0.98201,,
,non_plot,DOCL,4,AGB,leaves,0.02433,,
,non_plot,DOCL,4,AGB,stem,0.17774,,
,non_plot,DOCL,5,AGB,stem,0.42156,,
,non_plot,DOCL,6,AGB,leaves,0.01726,,
,non_plot,DOCL,6,AGB,stem,0.13286,,
,non_plot,DOCL,7,AGB,stem,0.33106,,
,non_plot,DOCL,7,AGB,leaves,0.02894,,
,non_plot,DOCL,8,AGB,leaves,0.12527,,
,non_plot,DOCL,8,AGB,stem,0.1748,,
,non_plot,THCU,9,AGB,,0.04921,,
,non_plot,THCU,10,AGB,,0.08115,,
,non_plot,THCU,11,AGB,,0.06232,,
,non_plot,THCU,12,AGB,,0.12833,,
,non_plot,THCU,13,AGB,,0.12082,,
,non_plot,THCU,14,AGB,,0.07275,,
,non_plot,THCU,15,AGB,,0.04011,,
,non_plot,THCU,16,AGB,,0.08655,,
,non_plot,THLA,17,AGB,,0.17513,,
