Origin,Life Form,Abundance Metric 2007,Abundance Metric 2008,Peak Flowering,standard_binomial,max_height,seed_mass,SLA,USDA_symbol
Native,Forb,0.115,0.188,5.5,Agoseris heterophylla,13,7.56e-4,306.794,AGHE2
Native,Forb,-0.105,-1.325,6,Amsinckia menziesii,50.8,0.0024,102.14,AMME
Exotic,Forb,0.04,0.005,4,Anagallis arvensis,22.5,5.24e-4,330.787,ANAR
Native,Forb,NA,0.506,5,Astragalus gambelianus,16,9.23e-4,132.6,ASGA
Exotic,Grass,-2.655,-4.966,4.75,Avena fatua,60,0.0074800000000000005,156.891,AVFA
Exotic,Grass,-29.98,-32.538,4.5,Bromus diandrus,47.5,0.0154,175.189,BRDI3
Exotic,Grass,-2.235,1.6,4.5,Bromus hordeaceus,38,0.00325,132.765,BRHO2
Exotic,Grass,-1.675,-0.892,4.5,Bromus madritensis,30,0.003112,158.334,BRMA3
Native,Forb,-0.005,-0.09,3.5,Calandrinia ciliata,22.8,4.84e-4,NA,CACI2
Exotic,Forb,-1.221,-0.015,5,Carduus pycnocephalus,110.00000000000001,0.00549,213.2,CAPY2
Native,Forb,0.03,0.441,4,Castilleja exserta,24.13,1.57e-4,319.6596,CAEX14
Exotic,Forb,-0.1,-0.198,5.5,Centaurea melitensis,55.00000000000001,0.00134,149.754,CEME2
Native,Forb,0.124,0.542,6,Chlorogalum pomeridianum,45,0.00873,NA,CHPO3
Native,Forb,0.171,0.271,5,Clarkia purpurea,50,4.6800000000000005e-4,148.4,CLPU2
Native,Forb,0.035,0.681,3.5,Crassula connata,4,1.4e-5,362.213,CRCO34
Native,Forb,0.005,0.126,4,Dichelostemma capitatum,48.3,NA,145.4,DICA14
Native,Forb,0.109,0.316,3,Dodecatheon clevelandii,28.499999999999996,0.00111,177.451,DOCL
Exotic,Forb,1.048,-2.238,3.5,Erodium cicutarium,30,0.00337,193.485,ERCI6
Exotic,Forb,-0.02,-0.764,5.5,Erodium moschatum,35,0.0019399999999999999,227.527,ERMO7
Native,Forb,-0.264,-0.28,7.5,Croton setigerus,10,0.007940000000000001,NA,CRSE11
Exotic,Forb,0.061,0.01,4.5,Logfia gallica,19.05,2.08e-4,252.0658,LOGA2
Native,Forb,-0.016,-0.074,5,Galium aparine,60,0.0043333,188.9372,GAAP2
Native,Forb,-0.01,-0.005,6.5,Galium porrigens,105,0.0015,193.1606,GAPO
Exotic,Grass,0.051,NA,NA,Gastridium phleoides,25,3.7e-5,NA,GAPH2
Exotic,Forb,0.005,NA,5,Geranium dissectum,10,0.00219,229.412,GEDI
Native,Forb,NA,0.322,4,Gilia clivorum,18,NA,150.4411,GICL
Exotic,Grass,-2.26,0.101,3.5,Hordeum murinum,60,0.0026,237.2573,HOMU
