"scan_id","plant.x","leaf","Year","month","day","Count","Total.Area","Average.Size","X.Area","Mean","full_name","species","plant.y","plot","plant"
"17","P17","L1","2017","03","02",1,0.956,0.956,0.159,254.794,"Thysanocarpus laciniatus","THLA",1,"non_plot",1
"17","P17","L2","2017","03","02",1,1.047,1.047,0.174,254.716,"Thysanocarpus laciniatus","THLA",1,"non_plot",1
"17","P17","L3","2017","03","02",1,0.392,0.392,0.065,255,"Thysanocarpus laciniatus","THLA",1,"non_plot",1
"17","P17","ALL","2017","03","02",18,7.47,0.415,1.239,253.829,"Thysanocarpus laciniatus","THLA",1,"non_plot",1
"18","P18","L1","2017","03","02",1,1.833,1.833,0.304,254.97,"Thysanocarpus laciniatus","THLA",2,"non_plot",2
"18","P18","L2","2017","03","02",1,1.639,1.639,0.272,254.919,"Thysanocarpus laciniatus","THLA",2,"non_plot",2
"18","P18","L3","2017","03","02",1,0.657,0.657,0.109,254.958,"Thysanocarpus laciniatus","THLA",2,"non_plot",2
"18","P18","ALL","2017","03","02",37,15.57,0.421,2.584,254.984,"Thysanocarpus laciniatus","THLA",2,"non_plot",2
"19","P19","L1","2017","03","02",1,3.14,3.14,0.521,254.977,"Thysanocarpus laciniatus","THLA",3,"non_plot",3
"19","P19","L2","2017","03","02",1,0.889,0.889,0.148,254.877,"Thysanocarpus laciniatus","THLA",3,"non_plot",3
"19","P19","L3","2017","03","02",1,0.347,0.347,0.058,254.974,"Thysanocarpus laciniatus","THLA",3,"non_plot",3
"19","P19","ALL","2017","03","02",74,51.997,0.703,8.628,254.807,"Thysanocarpus laciniatus","THLA",3,"non_plot",3
"20","P20","L1","2017","03","02",1,2.42,2.42,0.402,254.734,"Thysanocarpus laciniatus","THLA",4,"non_plot",4
"20","P20","L2","2017","03","02",1,1.154,1.154,0.191,254.933,"Thysanocarpus laciniatus","THLA",4,"non_plot",4
"20","P20","L3","2017","03","02",1,0.744,0.744,0.123,254.982,"Thysanocarpus laciniatus","THLA",4,"non_plot",4
"20","P20","ALL","2017","03","02",23,23.102,1.004,3.833,254.826,"Thysanocarpus laciniatus","THLA",4,"non_plot",4
"21","P21","L1","2017","03","03",1,1.69,1.69,0.28,254.946,"Thysanocarpus laciniatus","THLA",5,"non_plot",5
"21","P21","L2","2017","03","03",1,0.94,0.94,0.156,254.723,"Thysanocarpus laciniatus","THLA",5,"non_plot",5
"21","P21","L3","2017","03","03",1,1.153,1.153,0.191,254.798,"Thysanocarpus laciniatus","THLA",5,"non_plot",5
"21","P21","ALL","2017","03","03",14,8.912,0.637,1.479,254.932,"Thysanocarpus laciniatus","THLA",5,"non_plot",5
"22","P22","L1","2017","03","03",1,3.819,3.819,0.634,254.965,"Thysanocarpus laciniatus","THLA",6,"non_plot",6
"22","P22","L2","2017","03","03",1,1.915,1.915,0.318,254.993,"Thysanocarpus laciniatus","THLA",6,"non_plot",6
"22","P22","L3","2017","03","03",1,1.469,1.469,0.244,254.969,"Thysanocarpus laciniatus","THLA",6,"non_plot",6
"22","P22","ALL","2017","03","03",76,75.26,0.99,12.488,254.638,"Thysanocarpus laciniatus","THLA",6,"non_plot",6
"23","P23","L1","2017","03","03",1,0.862,0.862,0.143,254.158,"Thysanocarpus laciniatus","THLA",7,"non_plot",7
"23","P23","L2","2017","03","03",1,0.622,0.622,0.103,254.603,"Thysanocarpus laciniatus","THLA",7,"non_plot",7
"23","P23","L3","2017","03","03",1,0.484,0.484,0.08,254.67,"Thysanocarpus laciniatus","THLA",7,"non_plot",7
"23","P23","ALL","2017","03","03",33,15.201,0.461,2.522,253.029,"Thysanocarpus laciniatus","THLA",7,"non_plot",7
"24","P24","L1","2017","03","03",1,0.83,0.83,0.138,254.725,"Thysanocarpus laciniatus","THLA",8,"non_plot",8
"24","P24","L2","2017","03","03",1,0.787,0.787,0.131,254.797,"Thysanocarpus laciniatus","THLA",8,"non_plot",8
"24","P24","L3","2017","03","03",1,0.417,0.417,0.069,254.956,"Thysanocarpus laciniatus","THLA",8,"non_plot",8
"24","P24","ALL","2017","03","03",12,3.19,0.266,0.529,254.894,"Thysanocarpus laciniatus","THLA",8,"non_plot",8
