plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,leaf_area_cm2,dry_mass_g,date,notes
761,homu,1,1,3.2,0.4,0.01418,,,,24-Apr-2017,using only 1/5th of plant
761,homu,1,2,6,0.4,0.02681,,,,24-Apr-2017,
761,homu,1,3,4.1,0.4,0.01839,,,,24-Apr-2017,
761,homu,2,1,4.5,0.5,0.02681,,,,24-Apr-2017,using only 1/5th of plant
761,homu,2,2,4.3,0.5,0.02326,,,,24-Apr-2017,
761,homu,2,3,4,0.5,0.01947,,,,24-Apr-2017,
761,homu,3,1,4.6,0.5,0.02234,,,,24-Apr-2017,
761,homu,3,2,3.4,0.5,0.01763,,,,24-Apr-2017,
761,homu,3,3,4.1,0.5,0.02376,,,,24-Apr-2017,
761,homu,4,1,5.8,0.5,0.03785,,,,24-Apr-2017,using only 1/5th of plant
761,homu,4,2,4.6,0.5,0.02682,,,,24-Apr-2017,
761,homu,4,3,4.7,0.6,0.02664,,,,24-Apr-2017,
761,homu,5,1,4.8,0.4,0.02447,,,,24-Apr-2017,
761,homu,5,2,4,0.5,0.02196,,,,24-Apr-2017,
761,homu,5,3,4.6,0.4,0.02083,,,,24-Apr-2017,
761,vuma,1,1,4.7,0.2,0.01322,,,,24-Apr-2017,double leaf area of all-leaves scan
761,vuma,1,2,2.6,0.1,0.00373,,,,24-Apr-2017,
761,vuma,1,3,3.9,0.2,0.00766,,,,24-Apr-2017,
761,vuma,2,1,8.5,0.3,0.0347,,,,24-Apr-2017,using only ½ of plant
761,vuma,2,2,8.2,0.2,0.02371,,,,24-Apr-2017,"leaf curling, double leaf area"
761,vuma,2,3,6.5,0.2,0.0161,,,,24-Apr-2017,
761,vuma,3,1,5.8,0.2,0.01533,,,,24-Apr-2017,double leaf area of all-leaves scan
761,vuma,3,2,6.4,0.2,0.01859,,,,24-Apr-2017,
761,vuma,3,3,4,0.2,0.0101,,,,24-Apr-2017,
761,vuma,4,1,6,0.2,0.01833,,,,24-Apr-2017,
761,vuma,4,2,5.6,0.2,0.01214,,,,24-Apr-2017,
761,vuma,4,3,4.3,0.1,0.00739,,,,24-Apr-2017,"leaf curling, double leaf area"
761,vuma,5,1,3.4,0.1,0.00764,,,,24-Apr-2017,"leaf curling, double leaf area"
761,vuma,5,2,2,0.1,0.00348,,,,24-Apr-2017,
761,vuma,5,3,3.2,0.2,0.00617,,,,24-Apr-2017,"leaf curling, double leaf area"
761,mica,1,1,1.7,0.3,0.0064,,,,24-Apr-2017,
761,mica,1,2,1.7,0.3,0.00545,,,,24-Apr-2017,
761,mica,1,3,1.8,0.4,0.00756,,,,24-Apr-2017,
761,mica,2,1,1.5,0.3,0.00507,,,,24-Apr-2017,
761,mica,2,2,1.7,0.3,0.00553,,,,24-Apr-2017,
761,mica,2,3,0.9,0.3,0.00172,,,,24-Apr-2017,
761,mica,3,1,1.5,0.4,0.00556,,,,24-Apr-2017,using only ½ of plant
761,mica,3,2,1.6,0.5,0.00579,,,,24-Apr-2017,
761,mica,3,3,1.4,0.4,0.00498,,,,24-Apr-2017,
761,mica,4,1,1.1,0.2,0.00248,,,,24-Apr-2017,
761,mica,4,2,1.4,0.4,0.00434,,,,24-Apr-2017,
761,mica,4,3,1.6,0.4,0.00486,,,,24-Apr-2017,
761,mica,5,1,1.6,0.3,0.00613,,,,24-Apr-2017,using only 1/4th of plant
761,mica,5,2,1.3,0.3,0.00353,,,,24-Apr-2017,
761,mica,5,3,2.8,0.4,0.00818,,,,24-Apr-2017,
761,brma,1,1,4.1,0.4,0.01265,,,,24-Apr-2017,no leaves for all-leaves scan
761,brma,1,2,NA,NA,NA,,,,24-Apr-2017,
761,brma,1,3,NA,NA,NA,,,,24-Apr-2017,
761,brma,2,1,4.5,0.3,0.01192,,,,24-Apr-2017,
761,brma,2,2,3.9,0.3,0.00885,,,,24-Apr-2017,
761,brma,2,3,3.5,0.3,0.00752,,,,24-Apr-2017,
761,chgl,1,1,4.1,1.4,0.13598,,,,24-Apr-2017,
761,chgl,1,2,3.4,1,0.07984,,,,24-Apr-2017,
761,chgl,1,3,3.8,1.2,0.10751,,,,24-Apr-2017,
761,chgl,2,1,3.6,1.4,0.08517,,,,24-Apr-2017,
761,chgl,2,2,3.2,1.2,0.07922,,,,24-Apr-2017,
761,chgl,2,3,2.5,1.5,0.06621,,,,24-Apr-2017,
