plot,species,plant_number,dry_weight,notes
753,AMME,1,0.028,
non_plot,TOAR,1,0.0144,
non_plot,TOAR,2,0.0078,
non_plot,GAAP,1,0.01,
non_plot,GAAP,2,0.0189,
non_plot,GAAP,3,0.0248,
non_plot,GAAP,4,0.0149,
non_plot,GAAP,5,0.0134,
non_plot,GAAP,6,0.0133,
non_plot,GAAP,7,0.0126,
non_plot,GAAP,8,0.0124,
non_plot,CACO,1,0.0037,
non_plot,CACO,2,0.0122,
non_plot,CACO,3,0.0095,
non_plot,CACO,4,0.0202,
non_plot,CACO,5,0.0243,
non_plot,CACO,6,0.0006,
non_plot,CACO,7,0.0105,
non_plot,CACO,8,0.0192,
non_plot,LEBO,1,0.0215,
non_plot,LEBO,2,0.0043,
non_plot,LEBO,3,0.0083,
non_plot,LEBO,4,0.005,
non_plot,LEBO,5,0.0095,
non_plot,LEBO,6,0.0097,
non_plot,LEBO,7,0.0098,
non_plot,LEBO,8,0.0033,
non_plot,LESP,1,0.0018,
non_plot,LESP,2,0.0017,
non_plot,LESP,3,0.0022,
non_plot,LESP,4,0.0022,
non_plot,LESP,5,0.0014,
non_plot,LESP,6,0.0021,
non_plot,LESP,7,0.003,
non_plot,LESP,8,0.0015,
non_plot,MIDO,1,0.0055,
non_plot,MIDO,2,0.0085,
non_plot,MIDO,3,0.0043,
non_plot,MIDO,4,0.0068,
non_plot,MIDO,5,0.0079,
non_plot,MIDO,6,0.0096,
non_plot,MIDO,7,0.0071,
non_plot,MIDO,8,0.0036,
non_plot,ANAR,1,0.0033,
non_plot,ANAR,2,0.006,
non_plot,ANAR,3,0.0063,
non_plot,ANAR,4,0.0116,
non_plot,ANAR,5,0.0044,
non_plot,ANAR,6,0.017,
non_plot,ANAR,7,0.0096,
non_plot,ANAR,8,0.0069,
non_plot,BRDI,1,0.0451,
non_plot,BRDI,2,0.0403,
non_plot,BRDI,3,0.0768,
non_plot,BRDI,4,0.0321,
non_plot,BRDI,5,0.0687,
non_plot,BRDI,6,0.0252,
non_plot,BRDI,7,0.0671,
non_plot,BRDI,8,0.0486,
non_plot,BOIN,1,0.0045,
non_plot,BOIN,2,0.0053,
non_plot,BOIN,3,0.0077,
non_plot,BOIN,4,0.006,
non_plot,BOIN,5,0.0042,
non_plot,BOIN,6,0.0131,
non_plot,BOIN,7,0.0053,
non_plot,BOIN,8,0.0059,
non_plot,TOAR,3,0.019,
non_plot,TOAR,4,0.0091,
non_plot,TOAR,5,0.009,
non_plot,TOAR,6,0.0088,
non_plot,TOAR,7,0.0282,
non_plot,TOAR,8,0.0106,
non_plot,LOTUS2,1,0.0058,
non_plot,LOTUS2,2,0.0053,
non_plot,LOTUS2,3,0.0063,
non_plot,LOTUS2,4,,
non_plot,LOTUS2,5,0.0045,
non_plot,LOTUS2,6,0.003,
non_plot,LOTUS2,7,0.0051,
